,name,code
182,Derecho Registral,col_20.500.12404_8528
183,Derechos Fundamentales y Constitucionalismo en América Latina,col_20.500.12404_10254
184,Derechos Humanos,col_20.500.12404_1168
185,Derechos Humanos con mención en Pueblos Indígenas,col_20.500.12404_16496
186,Derecho Tributario,col_20.500.12404_11761
187,Derecho Tributario,col_20.500.12404_4718
188,Desarrollo Ambiental,col_20.500.12404_1297
189,Desarrollo Humano: Enfoques y Políticas,col_20.500.12404_6910
190,Dificultades de la Comunicación y el Lenguaje,col_20.500.12404_12763
191,Dificultades Específicas de Aprendizaje,col_20.500.12404_14344
192,Dirección de Cadenas de Aprovisionamiento,col_20.500.12404_15124
193,Dirección de Marketing,col_20.500.12404_7583
194,Dirección de Operaciones Productivas,col_20.500.12404_7732
195,Dirección Estratégica de Empresas,col_20.500.12404_4581
196,Dirección Estratégica y Liderazgo,col_20.500.12404_7765
197,Docencia Universitaria,col_20.500.12404_14902
198,Economía con mención en Crecimiento y Desarrollo Económico,col_20.500.12404_5552
199,Economía con mención en Economía Aplicada,col_20.500.12404_16498
200,Economía con mención en Economía Empresarial,col_20.500.12404_16499
201,Economía (Dr.),col_20.500.12404_5144
202,Economía (Lic.),col_20.500.12404_1026
203,Economía (Mag.),col_20.500.12404_754
204,Educación (Br),col_20.500.12404_5466
205,Educación con especialidad en Educación Inicial,col_20.500.12404_1743
206,• Educación con especialidad en Educación para el Desarrollo,col_20.500.12404_4438
207,Educación con especialidad en Educación Primaria,col_20.500.12404_1739
208,Educación con especialidad en Historia y Geografía,col_20.500.12404_16541
209,Educación con mención en Currículo,col_20.500.12404_1298
210,Educación con mención en Dificultades de Aprendizaje,col_20.500.12404_1299
211,Educación con mención en Gestión de la Educación,col_20.500.12404_763
212,Educación con mención en la Enseñanza de la Física,col_20.500.12404_16497
213,Educación con mención en la Enseñanza de la Matemática,col_20.500.12404_21403
214,Educación (Mag.),col_20.500.12404_6168
215,• Educación Secundaria con especialidad en Ciencias Naturales,col_20.500.12404_8962
216,• Educación Secundaria con especialidad en Ciencias Sociales,col_20.500.12404_22260
217,• Educación Secundaria con especialidad en Educación Artística,col_20.500.12404_14434
218,• Educación Secundaria con especialidad en Filosofía y Ciencias Sociales,col_20.500.12404_1741
219,• Educación Secundaria con especialidad en Física y Quimica,col_20.500.12404_5142
220,• Educación Secundaria con especialidad en Historia y Geografía,col_20.500.12404_1744
221,• Educación Secundaria con especialidad en Inglés,col_20.500.12404_12815
222,• Educación Secundaria con especialidad en Lengua y Literatura,col_20.500.12404_21
223,• Educación Secundaria con especialidad en Matemática,col_20.500.12404_4942
224,Emprendimiento y Nuevos Negocios,col_20.500.12404_16500
225,Energía,col_20.500.12404_9487
226,Enseñanza de Comunicación y Matemática a estudiantes de II y III Ciclo de Educación Básica Regular,col_20.500.12404_8479
227,Enseñanza de la Química,col_20.500.12404_756
228,Enseñanza del Área de Formación Ciudadana y Cívica para el Nivel de Educación Secundaria de Educación Básica Regular,col_20.500.12404_8364
229,"Enseñanza del Área de Historia, Geografía y Economía para el Nivel de Educación Secundaria de Educación Básica Regular",col_20.500.12404_13076
230,Enseñanza de las Matemáticas,col_20.500.12404_755
231,Enseñanza de las Matemáticas con mención en Educación Primaria,col_20.500.12404_16504
232,Enseñanza de las Matemáticas con mención en Educación Secundaria,col_20.500.12404_16505
233,Enseñanza del Inglés como Lengua Extranjera,col_20.500.12404_16530
234,Escritura Creativa,col_20.500.12404_16506
235,Estadística,col_20.500.12404_757
236,Estadística,col_20.500.12404_16537
